Recherche par filtre (famille/fournisseurs),Unnamed: 1,Unnamed: 2,Unnamed: 3,RECHERCHE PAR MOT CLÉ:,Unnamed: 5,Résultats de votre recherche:,Unnamed: 7
,,,                                                    supprimer les filtres activés avant la recherche par mot clé,,,,
,,,                      mot clé en cliquant sur le symbole   ,,,,
,,,,,,,
,,,,Saisissez votre mot clé et cliquez sur la ligne de résultat désirée pour l'affichée dans la saisie.,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,TOTAL INVENTAIRE SOLIDE:,,,
,,,,11282.8717133409,,,
,,,,,,,
,,,,,,,
Fournisseurs,Code article,Famille,,*FACTUR*,QUANTITE,Prix*,VALORISATION
Fournisseurs,Code article,Famille,Libelle article - conditionnement,UNITE D'INVENTAIRE,QUANTITE,TARIF HT,VALORISATION
Caviar frais,131044,FRAIS,Araignee pac       frais,KG,4.488,18.5,83.028
Caviar frais,131041,FRAIS,Bavette aloyau 170 grs       frais,KG,4.009,15.7,62.9413
Caviar frais,900051,FRAIS,Bloc de foie gras de canard mi-cuit        frais,KG,3.45,28.25,97.4625
Caviar frais,131106,FRAIS,Cotes 430 grs        frais,KG,7.242,22,159.324
Caviar frais,900117,FRAIS,Crayons aux herbes       frais,KG,4.75,13.99,66.4525
Caviar frais,900048,FRAIS,Embeurrée de pommes de terre       frais,KG,11.5,6.5,74.75
Caviar frais,151011-151012,FRAIS,Eminces de boeuf 180 grs marines (ail des ours ou citron poivre vert)       frais,KG,7.595,9.9,75.1905
Caviar frais,131072,FRAIS,Entrecotes 230 grs       frais,KG,3.178,22.4,71.1872
Caviar frais,131071,FRAIS,Entrecotes 300 grs race a viande       frais,KG,2.202,25.4,55.9308
Caviar frais,900003,FRAIS,"Fromage frais et poivrons confits
(sauce maquignon)       frais",KG,7,7.78,54.46
Caviar frais,900004,FRAIS,GOURDE COMPOTE,KG,5.31,4.68,24.8508
Caviar frais,900098,FRAIS,Mayonnaise premium        frais,KG,7,5.79,40.53
Caviar frais,151005,FRAIS,Mi cuit de bœuf - tataki       frais,KG,3.19,17.1,54.549
Caviar frais,151009,FRAIS,Millefeuille 180 grs       frais,KG,3.152,17.1,53.8992
Caviar frais,121035,FRAIS,Morceaux de muscles à hacher vbf       frais,KG,51.35,11,564.85
Caviar frais,131047,FRAIS,Onglet 200 grs       frais,KG,10.382,18.5,192.067
Caviar frais,900104,FRAIS,Oreillons de pêches       frais,KG,,6.99,0
Caviar frais,131062,FRAIS,Panache araignees 80 grs       frais,KG,5.396,17,91.732
Caviar frais,131061,FRAIS,Panache onglet 80 grs       frais,KG,5.742,16.9,97.0398
Caviar frais,131063,FRAIS,Panache poire 80 grs       frais,KG,4.771,16.7,79.6757
Caviar frais,131020,FRAIS,Pave rtk 170 grs       frais,KG,9.946,18.2,181.0172
Caviar frais,900058,FRAIS,Prépa pommes       frais,KG,9.6,5.12,49.152
Caviar frais,900075,FRAIS,Préparation basilic       frais,KG,2,8.95,17.9
Caviar frais,900116,FRAIS,Puree de pommes sans sucre ajoutée       frais,KG,,5.31,0
Caviar frais,900115,FRAIS,Rillettes du mans à l'ancienne       frais,KG,1.76,8.04,14.1504
Caviar frais,900070,FRAIS,Sauce béarnaise       frais,KG,7.02,8.3,58.266
Caviar frais,900078,FRAIS,Sauce caesar       frais,KG,4.5,7.9,35.55
Caviar frais,900071,FRAIS,Sauce poivre        frais,KG,5.88,7.7,45.276
Caviar frais,900072,FRAIS,Sauce roquefort       frais,KG,9.8,9.1,89.18
Caviar frais,900091,FRAIS,St marcellin       frais,KG,4.4,9.79,43.076
Caviar frais,131073,FRAIS,Surprise du boucher 170 grs       frais,KG,4.45,15.4,68.53
Caviar frais,900095,FRAIS,Terrines de foie de volaille 70grs       frais,KG,3.64,11.2,40.768
Caviar surgele,902288,SURG,Aiguillettes de poulet corn flakes     surgele,KG,,8.7,0
Caviar surgele,902195,SURG,Blinis au beurre nature     surgele,KG,1.85,15.48,28.638
Caviar surgele,902194,SURG,Blinis poivrons piquillos     surgele,KG,1.85,16.49,30.5065
Caviar surgele,902173,SURG,Brochette de poulet bacon     surgele,KG,4.4,12.9,56.76
Caviar surgele,902304,SURG,Caponata de légumes     surgele,KG,6,8.45,50.7
Caviar surgele,902302,SURG,Carpaccio de bœuf     surgele,KG,25.5,19.45,495.975
Caviar surgele,902177,SURG,Chèvre cube soignon  10*10     surgele,KG,5.25,11.01,57.8025
Caviar surgele,902006,SURG,Chèvre palets     surgele,KG,13,11.29,146.77
Caviar surgele,902171,SURG,Choux cuits 11 grs     surgele,KG,3.792,10.53,39.92976
Caviar surgele,132078,SURG,Cotes 430 grs     surgele,KG,19.8,18.9,374.22
Caviar surgele,902305,SURG,Coulant gourmand chocolat     surgele,KG,12.42,8.99,111.6558
Caviar surgele,902281,SURG,Crumble aux herbes     surgele,KG,3,11.3,33.9
Caviar surgele,902303,SURG,Crumble sucré     surgele,KG,4.51,10.04,45.2804
Caviar surgele,132007,SURG,Cubes brochettes 40 grs     surgele,KG,9.829,11.7,114.9993
Caviar surgele,902236,SURG,Demi magret de canard crus     surgele,KG,10.867,15.99,173.76333
Caviar surgele,132086,SURG,Entrecotes 230 grs      surgele,KG,14.655,18.9,276.9795
Caviar surgele,132085,SURG,Entrecotes 300 grs race a viande     surgele,KG,11.883,22.9,272.1207
Caviar surgele,132009,SURG,Entrecotes enfants * 4      surgele,KG,5.669,7,39.683
Caviar surgele,902187,SURG,Escalope de foie gras poêlée     surgele,KG,1.896,40.24,76.29504
Caviar surgele,902221,SURG,Falafels au quinoa     surgele,KG,4.05,11.88,48.114
Caviar surgele,902170,SURG,Fondue d'échalotes     surgele,KG,22.23,10.1,224.523
Caviar surgele,902179,SURG,Galette de soja     surgele,KG,3.25,10.73,34.8725
Caviar surgele,902279,SURG,Guacamole epicé     surgele,KG,7,9.2,64.4
Caviar surgele,902286,SURG,Houmous citron confits     surgele,KG,5.55,7.6,42.18
Caviar surgele,902309,SURG,Jambon à griller     surgele,KG,17.012,9.02,153.44824
Caviar surgele,902237,SURG,Léches de porc marinée     surgele,KG,13.24,10.15,134.386
Caviar surgele,902306,SURG,Madeleine salée curry-coco     surgele,KG,,12.2,0
Caviar surgele,902307,SURG,Madeleine salée olivade     surgele,KG,2.6,12.2,31.72
Caviar surgele,902308,SURG,Madeleine salée pesto     surgele,KG,2.6,12.2,31.72
Caviar surgele,902234,SURG,Nids oignons     surgele,KG,5.82,8.44,49.1208
Caviar surgele,802003,SURG,Os a moelle     surgele,KG,36.27,3.8,137.826
Caviar surgele,902276,SURG,Paille dessert à cuire     surgele,KG,14,7.09,99.26
Caviar surgele,902277,SURG,Poche crémeux vanille     surgele,KG,5.6,9.6,53.76
Caviar surgele,902311,SURG,Poulet olives-citron vert     surgele,KG,4.32,10.7,46.224
Caviar surgele,902152,SURG,Préparation base à tartare     surgele,KG,19.5,8.65,168.675
Caviar surgele,902188,SURG,Riz blanc cuisiné     surgele,KG,10.2,5.48,55.896
Caviar surgele,902207,SURG,Sauce thai     surgele,KG,7,9.5,66.5
Caviar surgele,902287,SURG,Saumon mariné citron poivre     surgele,KG,1.335,28.3,37.7805
Caviar surgele,902240,SURG,Tataki de thon     surgele,KG,7.4,17.89,132.386
Caviar surgele,902310,SURG,Tranche de poitrine de porc fumée cuite 20 grs     surgele,KG,5.083,12.7,64.5541
Caviar surgele,132077,SURG,Trésor du louchebem (pièce de 350g)     surgele,KG,30.951,19.3,597.3543
Compagnie des desserts,92607,GLACE,"Crème glacée barbapapa  2,5l x 1",KG,3.2,4.8196,15.42272
Compagnie des desserts,92525,GLACE,"Crème glacée bulgare groseille 2,5l x 1",KG,3,4.6268,13.8804
Compagnie des desserts,92680,GLACE,"Crème glacée bulgare nature 2,5l x 1",KG,,4.5,0
Compagnie des desserts,92031,GLACE,"Crème glacée café des indes 2,5l x 1",KG,4.3,4.464,19.1952
Compagnie des desserts,92051,GLACE,"Crème glacée caramel salé 2,5l x 1",KG,4.2,4.464,18.7488
Compagnie des desserts,92041,GLACE,"Crème glacée chocolat 2,5l x 1",KG,2.9,4.108,11.9132
Compagnie des desserts,92101,GLACE,"Crème glacée créole rhum raisins 2,5l x 1",KG,2,4.464,8.928
Compagnie des desserts,92488,GLACE,"Crème glacée menthe chocolat 2,5l x 1",KG,2.6,4.824,12.5424
Compagnie des desserts,92081,GLACE,"Crème glacée pistache 2,5l x 1",KG,2.7,4.8156,13.00212
Compagnie des desserts,74748,GLACE,Crème glacée vanille 5l x 1,KG,7,2.3534,16.4738
Compagnie des desserts,92875,GLACE,"Crème glacée yaourt brassé 2,5l x 1",KG,4.5,6.2176,27.9792
