Numéro;Type de Ligne;Niveau;Texte;Quantité;Montant
1;1;0;"CARPACCIOS ENTREES";0,00;0,00 €
2;1;1;"ENT CARPA BASILIC";0,00;0,00 €
3;2;1;"Total Net";3,00;0,00 €
4;2;1;" dont Menus";3,00;0,00 €
5;2;1;"Total Modification Note";1,00;0,00 €
6;0;0;"";0,00;0,00 €
7;4;0;"Net CARPACCIOS ENTREES";3,00;0,00 €
8;4;0;" dont Menus";3,00;0,00 €
9;4;0;"Modification Note";1,00;0,00 €
10;0;0;"";0,00;0,00 €
11;1;0;"CARPACCIOS PLATS";0,00;0,00 €
12;1;1;"2EME CARPA BASILIC";0,00;0,00 €
13;2;1;"Total Erreur de saisie";3,00;0,00 €
14;0;0;"";0,00;0,00 €
15;1;1;"MI-CUIT BOEUF TATAKI";0,00;0,00 €
16;2;1;"Total Net";64,00;1219,86 €
17;2;1;"Total Brut";64,00;1225,60 €
18;2;1;" dont Ventes";63,00;1219,86 €
19;2;1;" dont Remises";1,00;5,74 €
20;2;1;"Total Annulations";2,00;38,30 €
21;2;1;"Total Perte";1,00;19,15 €
22;2;1;"Total Avoir Ticket";1,00;19,15 €
23;2;1;"Total Modification Note";11,00;210,65 €
24;0;0;"";0,00;0,00 €
25;1;1;"OPE CARPA BASILIC";0,00;0,00 €
26;2;1;"Total Erreur de saisie";2,00;37,40 €
27;0;0;"";0,00;0,00 €
28;1;1;"OPE CARPA CHEVRE";0,00;0,00 €
29;2;1;"Total Erreur de saisie";1,00;18,50 €
30;0;0;"";0,00;0,00 €
31;1;1;"PLAT CARPA BASILIC";0,00;0,00 €
32;2;1;"Total Net";20,00;314,82 €
33;2;1;"Total Brut";20,00;318,00 €
34;2;1;" dont Ventes";18,00;314,82 €
35;2;1;" dont Remises";2,00;3,18 €
36;2;1;"Total Avoir Ticket";1,00;15,90 €
37;2;1;"Total Modification Note";2,00;31,80 €
38;0;0;"";0,00;0,00 €
39;1;1;"PLAT CARPA CHEVRE";0,00;0,00 €
40;2;1;"Total Net";25,00;447,50 €
41;2;1;" dont Ventes";25,00;447,50 €
42;2;1;"Total Avoir Ticket";3,00;53,70 €
43;0;0;"";0,00;0,00 €
44;1;1;"SUPP GRANA PADANO";0,00;0,00 €
45;2;1;"Total Net";6,00;5,90 €
46;2;1;"Total Brut";6,00;6,00 €
47;2;1;" dont Ventes";5,00;5,90 €
48;2;1;" dont Remises";1,00;0,10 €
49;2;1;"Total Modification Note";1,00;1,00 €
50;0;0;"";0,00;0,00 €
51;4;0;"Net CARPACCIOS PLATS";115,00;1988,08 €
52;4;0;"Brut CARPACCIOS PLATS";115,00;1997,10 €
53;4;0;" dont Ventes";111,00;1988,08 €
54;4;0;" dont Remises";4,00;9,02 €
55;4;0;"Annulations";2,00;38,30 €
56;4;0;"Perte";1,00;19,15 €
57;4;0;"Erreur de saisie";6,00;55,90 €
58;4;0;"Avoir Ticket";5,00;88,75 €
59;4;0;"Modification Note";14,00;243,45 €
60;0;0;"";0,00;0,00 €
61;1;0;"DESSERTS";0,00;0,00 €
62;1;1;"CAFE DOUCEUR M";0,00;0,00 €
63;2;1;"Total Net";69,00;0,00 €
64;2;1;" dont Menus";69,00;0,00 €
65;2;1;"Total Erreur de saisie";1,00;0,00 €
66;2;1;"Total Modification Note";4,00;0,00 €
67;0;0;"";0,00;0,00 €
68;1;1;"CAFE PLAISIR";0,00;0,00 €
69;2;1;"Total Net";14,00;65,80 €
70;2;1;" dont Ventes";14,00;65,80 €
71;2;1;"Total Perte";2,00;9,40 €
72;2;1;"Total Erreur de saisie";1,00;4,70 €
73;2;1;"Total Modification Note";4,00;18,80 €
74;0;0;"";0,00;0,00 €
75;1;1;"CARAMEL BEURRE SALE";0,00;0,00 €
76;2;1;"Total Perte";1,00;0,00 €
77;2;1;"Total Avoir Ticket";1,00;0,00 €
78;2;1;"Total Modification Note";8,00;0,00 €
79;0;0;"";0,00;0,00 €
80;1;1;"CHANTILLY.";0,00;0,00 €
81;2;1;"Total Annulations";1,00;0,00 €
82;2;1;"Total Perte";1,00;0,00 €
83;2;1;"Total Erreur de saisie";1,00;0,00 €
84;2;1;"Total Avoir Ticket";6,00;0,00 €
85;2;1;"Total Modification Note";20,00;0,00 €
86;0;0;"";0,00;0,00 €
87;1;1;"CREME BRULEE M";0,00;0,00 €
88;2;1;"Total Net";2,00;5,80 €
89;2;1;" dont Menus";2,00;5,80 €
90;0;0;"";0,00;0,00 €
91;1;1;"DUO VERRINES DESSERTS";0,00;0,00 €
92;2;1;"Total Net";36,00;0,00 €
93;2;1;" dont Menus";36,00;0,00 €
94;2;1;"Total Perte";1,00;0,00 €
95;2;1;"Total Modification Note";7,00;0,00 €
96;0;0;"";0,00;0,00 €
97;1;1;"ENFANT VER. TIRAMISU";0,00;0,00 €
98;2;1;"Total Net";24,00;0,00 €
99;2;1;" dont Menus";24,00;0,00 €
100;2;1;"Total Modification Note";1,00;0,00 €
101;0;0;"";0,00;0,00 €
102;1;1;"GAUFRE BRUXELLES M";0,00;0,00 €
103;2;1;"Total Net";1,00;2,90 €
104;2;1;" dont Menus";1,00;2,90 €
105;2;1;"Total Modification Note";1,00;2,90 €
106;0;0;"";0,00;0,00 €
107;1;1;"GOURMAND CAFE";0,00;0,00 €
108;2;1;"Total Net";168,00;1343,16 €
109;2;1;"Total Brut";168,00;1344,80 €
110;2;1;" dont Ventes";162,00;1343,16 €
111;2;1;" dont Menus";4,00;0,00 €
112;2;1;" dont Remises";2,00;1,64 €
113;2;1;"Total Annulations";3,00;24,60 €
114;2;1;"Total Erreur de saisie";1,00;8,20 €
115;2;1;"Total Avoir Ticket";9,00;57,40 €
116;2;1;"Total Modification Note";15,00;123,00 €
117;0;0;"";0,00;0,00 €
118;1;1;"GOURMAND CAFE M";0,00;0,00 €
119;2;1;"Total Net";7,00;20,30 €
120;2;1;" dont Menus";7,00;20,30 €
121;2;1;"Total Modification Note";1,00;2,90 €
122;0;0;"";0,00;0,00 €
123;1;1;"GOURMAND DECA";0,00;0,00 €
124;2;1;"Total Net";10,00;81,18 €
125;2;1;"Total Brut";10,00;82,00 €
126;2;1;" dont Ventes";9,00;81,18 €
127;2;1;" dont Remises";1,00;0,82 €
128;2;1;"Total Modification Note";1,00;8,20 €
129;0;0;"";0,00;0,00 €
130;1;1;"GOURMAND THE";0,00;0,00 €
131;2;1;"Total Net";8,00;65,60 €
132;2;1;" dont Ventes";8,00;65,60 €
133;2;1;"Total Modification Note";2,00;16,40 €
134;0;0;"";0,00;0,00 €
135;1;1;"GOURMAND THE M";0,00;0,00 €
136;2;1;"Total Net";1,00;2,90 €
137;2;1;" dont Menus";1,00;2,90 €
138;0;0;"";0,00;0,00 €
139;1;1;"NUTELLA";0,00;0,00 €
140;2;1;"Total Modification Note";10,00;0,00 €
141;0;0;"";0,00;0,00 €
142;1;1;"P TIT POMME";0,00;0,00 €
143;2;1;"Total Net";21,00;0,00 €
144;2;1;" dont Menus";21,00;0,00 €
145;2;1;"Total Modification Note";1,00;0,00 €
146;0;0;"";0,00;0,00 €
147;1;1;"PANNA COTTA";0,00;0,00 €
148;2;1;"Total Net";58,00;341,61 €
149;2;1;"Total Brut";58,00;342,20 €
150;2;1;" dont Ventes";57,00;341,61 €
151;2;1;" dont Remises";1,00;0,59 €
152;2;1;"Total Annulations";1,00;5,90 €
153;2;1;"Total Erreur de saisie";2,00;11,80 €
154;2;1;"Total Avoir Ticket";1,00;5,90 €
155;2;1;"Total Modification Note";6,00;35,40 €
156;0;0;"";0,00;0,00 €
157;1;1;"POT PANNA COTTA M";0,00;0,00 €
158;2;1;"Total Net";26,00;0,00 €
159;2;1;" dont Menus";26,00;0,00 €
160;2;1;"Total Modification Note";8,00;0,00 €
161;0;0;"";0,00;0,00 €
162;1;1;"PROFITEROLES M";0,00;0,00 €
163;2;1;"Total Net";4,00;11,60 €
164;2;1;" dont Menus";4,00;11,60 €
165;2;1;"Total Modification Note";4,00;11,60 €
166;0;0;"";0,00;0,00 €
167;1;1;"TIRAMISU M";0,00;0,00 €
168;2;1;"Total Net";5,00;14,50 €
169;2;1;" dont Menus";5,00;14,50 €
170;2;1;"Total Modification Note";1,00;2,90 €
171;0;0;"";0,00;0,00 €
172;1;1;"VER. PANA COTTA";0,00;0,00 €
173;2;1;"Total Net";36,00;0,00 €
174;2;1;" dont Ventes";36,00;0,00 €
175;2;1;"Total Perte";1,00;0,00 €
176;2;1;"Total Erreur de saisie";1,00;0,00 €
177;2;1;"Total Modification Note";7,00;0,00 €
178;0;0;"";0,00;0,00 €
179;1;1;"VER. TIRAMISU";0,00;0,00 €
180;2;1;"Total Net";35,00;0,00 €
181;2;1;" dont Ventes";35,00;0,00 €
182;2;1;"Total Perte";1,00;0,00 €
183;2;1;"Total Modification Note";7,00;0,00 €
184;0;0;"";0,00;0,00 €
185;1;1;"YAOURT A BOIRE";0,00;0,00 €
186;2;1;"Total Net";20,00;0,00 €
187;2;1;" dont Menus";20,00;0,00 €
188;2;1;"Total Annulations";1,00;0,00 €
189;2;1;"Total Modification Note";5,00;0,00 €
190;0;0;"";0,00;0,00 €
191;4;0;"Net DESSERTS";545,00;1955,35 €
192;4;0;"Brut DESSERTS";545,00;1958,40 €
193;4;0;" dont Ventes";321,00;1897,35 €
194;4;0;" dont Menus";220,00;58,00 €
195;4;0;" dont Remises";4,00;3,05 €
196;4;0;"Annulations";6,00;30,50 €
197;4;0;"Perte";7,00;9,40 €
198;4;0;"Erreur de saisie";7,00;24,70 €
199;4;0;"Avoir Ticket";17,00;63,30 €
200;4;0;"Modification Note";113,00;222,10 €
201;0;0;"";0,00;0,00 €
202;1;0;"DESSERTS PROMO";0,00;0,00 €
203;1;1;"1/2 ST MARCELLIN";0,00;0,00 €
204;2;1;"Total Net";11,00;52,80 €
205;2;1;"Total Brut";13,00;62,40 €
206;2;1;" dont Ventes";11,00;52,80 €
207;2;1;" dont Offert Client";2,00;9,60 €
208;0;0;"";0,00;0,00 €
209;1;1;"COEUR COULANT CHOCO";0,00;0,00 €
210;2;1;"Total Net";55,00;392,54 €
211;2;1;"Total Brut";55,00;393,25 €
212;2;1;" dont Ventes";54,00;392,54 €
213;2;1;" dont Remises";1,00;0,71 €
214;2;1;"Total Avoir Ticket";5,00;35,75 €
215;2;1;"Total Modification Note";5,00;35,75 €
216;0;0;"";0,00;0,00 €
217;1;1;"CPE 1 BOULE";0,00;0,00 €
218;2;1;"Total Net";114,00;107,88 €
219;2;1;"Total Brut";114,00;108,50 €
220;2;1;" dont Ventes";33,00;107,88 €
221;2;1;" dont Menus";79,00;0,00 €
222;2;1;" dont Remises";2,00;0,62 €
223;2;1;"Total Annulations";1,00;3,10 €
224;2;1;"Total Perte";7,00;0,00 €
225;2;1;"Total Avoir Ticket";6,00;0,00 €
226;2;1;"Total Modification Note";24,00;3,10 €
227;0;0;"";0,00;0,00 €
228;1;1;"CPE 2 BOULES";0,00;0,00 €
229;2;1;"Total Net";153,00;547,56 €
230;2;1;"Total Brut";154,00;556,40 €
231;2;1;" dont Ventes";99,00;547,56 €
232;2;1;" dont Menus";47,00;0,00 €
233;2;1;" dont Remises";7,00;3,64 €
234;2;1;" dont Offert Client";1,00;5,20 €
235;2;1;"Total Annulations";2,00;10,40 €
236;2;1;"Total Perte";1,00;0,00 €
237;2;1;"Total Avoir Ticket";2,00;10,40 €
238;2;1;"Total Modification Note";25,00;78,00 €
239;0;0;"";0,00;0,00 €
240;1;1;"CPE CAFE LIEGEOIS";0,00;0,00 €
241;2;1;"Total Net";31,00;222,00 €
242;2;1;" dont Ventes";30,00;222,00 €
243;2;1;" dont Menus";1,00;0,00 €
244;2;1;"Total Annulations";1,00;7,40 €
245;2;1;"Total Erreur de saisie";1,00;7,40 €
246;2;1;"Total Modification Note";7,00;51,80 €
247;0;0;"";0,00;0,00 €
248;1;1;"CPE CARAMEL LIEGEOIS";0,00;0,00 €
249;2;1;"Total Net";13,00;95,46 €
250;2;1;"Total Brut";13,00;96,20 €
251;2;1;" dont Ventes";12,00;95,46 €
252;2;1;" dont Remises";1,00;0,74 €
253;0;0;"";0,00;0,00 €
254;1;1;"CPE CHOCO LIEGEOIS";0,00;0,00 €
255;2;1;"Total Net";45,00;322,64 €
256;2;1;"Total Brut";45,00;325,60 €
257;2;1;" dont Ventes";40,00;322,64 €
258;2;1;" dont Menus";1,00;0,00 €
259;2;1;" dont Remises";4,00;2,96 €
260;2;1;"Total Modification Note";5,00;37,00 €
261;0;0;"";0,00;0,00 €
262;1;1;"CPE FRUITS RGE LIEGEOIS";0,00;0,00 €
263;2;1;"Total Net";8,00;59,20 €
264;2;1;" dont Ventes";8,00;59,20 €
265;0;0;"";0,00;0,00 €
266;1;1;"CPE PECHE MELBA";0,00;0,00 €
267;2;1;"Total Net";38,00;265,30 €
268;2;1;"Total Brut";38,00;266,00 €
269;2;1;" dont Ventes";37,00;265,30 €
270;2;1;" dont Remises";1,00;0,70 €
271;2;1;"Total Modification Note";2,00;14,00 €
272;0;0;"";0,00;0,00 €
273;1;1;"CPE POM CORN";0,00;0,00 €
274;2;1;"Total Net";40,00;280,46 €
275;2;1;"Total Brut";40,00;281,20 €
276;2;1;" dont Ventes";37,00;280,46 €
277;2;1;" dont Menus";2,00;0,00 €
278;2;1;" dont Remises";1,00;0,74 €
279;2;1;"Total Perte";1,00;0,00 €
280;2;1;"Total Modification Note";7,00;44,40 €
281;0;0;"";0,00;0,00 €
282;1;1;"CPE POM CORN M";0,00;0,00 €
283;2;1;"Total Net";2,00;5,80 €
284;2;1;" dont Menus";2,00;5,80 €
285;0;0;"";0,00;0,00 €
286;1;1;"CPE TUTTI FRUTTI";0,00;0,00 €
287;2;1;"Total Net";50,00;345,61 €
288;2;1;"Total Brut";50,00;350,00 €
289;2;1;" dont Ventes";47,00;345,61 €
290;2;1;" dont Remises";3,00;4,39 €
291;2;1;"Total Modification Note";9,00;63,00 €
292;0;0;"";0,00;0,00 €
293;1;1;"CREME BRULEE";0,00;0,00 €
294;2;1;"Total Net";69,00;447,20 €
295;2;1;"Total Brut";69,00;448,50 €
296;2;1;" dont Ventes";67,00;447,20 €
297;2;1;" dont Remises";2,00;1,30 €
298;2;1;"Total Annulations";1,00;6,50 €
299;2;1;"Total Erreur de saisie";1,00;6,50 €
300;2;1;"Total Avoir Ticket";1,00;6,50 €
301;2;1;"Total Modification Note";11,00;71,50 €
302;0;0;"";0,00;0,00 €
303;1;1;"DAME BLANCHE";0,00;0,00 €
304;2;1;"Total Net";21,00;154,66 €
305;2;1;"Total Brut";21,00;155,40 €
306;2;1;" dont Ventes";20,00;154,66 €
307;2;1;" dont Remises";1,00;0,74 €
308;2;1;"Total Modification Note";9,00;66,60 €
309;0;0;"";0,00;0,00 €
310;1;1;"GAUFRE BRUXELLES";0,00;0,00 €
311;2;1;"Total Net";67,00;389,73 €
312;2;1;"Total Brut";67,00;392,70 €
313;2;1;" dont Ventes";63,00;389,73 €
314;2;1;" dont Menus";1,00;0,00 €
315;2;1;" dont Remises";3,00;2,97 €
316;2;1;"Total Perte";1,00;5,95 €
317;2;1;"Total Modification Note";18,00;107,10 €
318;0;0;"";0,00;0,00 €
319;1;1;"MILLEFEUILLE NUTELLA";0,00;0,00 €
320;2;1;"Total Net";41,00;0,00 €
321;2;1;" dont Menus";41,00;0,00 €
322;2;1;"Total Modification Note";10,00;0,00 €
323;0;0;"";0,00;0,00 €
324;1;1;"PL ST-MARCELLIN OSSAU IRATY";0,00;0,00 €
325;2;1;"Total Net";8,00;55,60 €
326;2;1;" dont Ventes";8,00;55,60 €
327;2;1;"Total Modification Note";1,00;6,95 €
328;0;0;"";0,00;0,00 €
329;1;1;"PROFITEROLES";0,00;0,00 €
330;2;1;"Total Net";58,00;463,90 €
331;2;1;"Total Brut";58,00;464,75 €
332;2;1;" dont Ventes";54,00;463,90 €
333;2;1;" dont Menus";3,00;0,00 €
334;2;1;" dont Remises";1,00;0,85 €
335;2;1;"Total Modification Note";7,00;59,15 €
336;0;0;"";0,00;0,00 €
337;1;1;"TARTELETTE NOISETTES NUTELLA";0,00;0,00 €
338;2;1;"Total Net";44,00;302,91 €
339;2;1;"Total Brut";44,00;303,60 €
340;2;1;" dont Ventes";43,00;302,91 €
341;2;1;" dont Remises";1,00;0,69 €
342;2;1;"Total Avoir Ticket";1,00;6,90 €
343;2;1;"Total Modification Note";7,00;48,30 €
344;0;0;"";0,00;0,00 €
345;1;1;"TIRAMISU LA BOUCHERIE";0,00;0,00 €
346;2;1;"Total Net";151,00;1064,16 €
347;2;1;"Total Brut";152,00;1072,80 €
348;2;1;" dont Ventes";146,00;1064,16 €
349;2;1;" dont Menus";3,00;0,00 €
350;2;1;" dont Remises";2,00;1,44 €
351;2;1;" dont Offert Client";1,00;7,20 €
352;2;1;"Total Annulations";1,00;7,20 €
353;2;1;"Total Perte";1,00;7,20 €
354;2;1;"Total Erreur de saisie";66,00;475,20 €
355;2;1;"Total Avoir Ticket";5,00;36,00 €
356;2;1;"Total Modification Note";25,00;180,00 €
357;0;0;"";0,00;0,00 €
358;4;0;"Net DESSERTS PROMO";1019,00;5575,41 €
359;4;0;"Brut DESSERTS PROMO";1023,00;5619,90 €
360;4;0;" dont Ventes";809,00;5569,61 €
361;4;0;" dont Menus";180,00;5,80 €
362;4;0;" dont Remises";30,00;22,49 €
363;4;0;" dont Offert Client";4,00;22,00 €
364;4;0;"Annulations";6,00;34,60 €
365;4;0;"Perte";11,00;13,15 €
366;4;0;"Erreur de saisie";68,00;489,10 €
367;4;0;"Avoir Ticket";20,00;95,55 €
368;4;0;"Modification Note";172,00;866,65 €
369;0;0;"";0,00;0,00 €
370;1;0;"DESSERTS VAE";0,00;0,00 €
371;1;1;"MOELLEUX CHOCO VAE";0,00;0,00 €
372;2;1;"Total Net";2,00;11,00 €
373;2;1;" dont Ventes";2,00;11,00 €
374;0;0;"";0,00;0,00 €
375;1;1;"TIRAMISU VAE";0,00;0,00 €
376;2;1;"Total Net";1,00;4,95 €
377;2;1;"Total Brut";1,00;5,50 €
378;2;1;" dont Ventes";0,00;4,95 €
379;2;1;" dont Remises";1,00;0,55 €
380;2;1;"Total Erreur de saisie";1,00;5,50 €
381;0;0;"";0,00;0,00 €
382;1;1;"YAOURT A BOIRE VAE";0,00;0,00 €
383;2;1;"Total Net";3,00;0,00 €
384;2;1;" dont Menus";3,00;0,00 €
385;0;0;"";0,00;0,00 €
386;4;0;"Net DESSERTS VAE";6,00;15,95 €
387;4;0;"Brut DESSERTS VAE";6,00;16,50 €
388;4;0;" dont Ventes";2,00;15,95 €
389;4;0;" dont Menus";3,00;0,00 €
390;4;0;" dont Remises";1,00;0,55 €
391;4;0;"Erreur de saisie";1,00;5,50 €
392;0;0;"";0,00;0,00 €
393;1;0;"ENTREES";0,00;0,00 €
394;1;1;"DUO DE PLANCHETTES";0,00;0,00 €
395;2;1;"Total Net";26,00;463,61 €
396;2;1;"Total Brut";26,00;465,40 €
397;2;1;" dont Ventes";25,00;463,61 €
398;2;1;" dont Remises";1,00;1,79 €
399;2;1;"Total Modification Note";11,00;196,90 €
400;0;0;"";0,00;0,00 €
401;1;1;"ENTREE DU JOUR 2.50€";0,00;0,00 €
402;2;1;"Total Net";3,00;7,50 €
403;2;1;" dont Menus";3,00;7,50 €
404;0;0;"";0,00;0,00 €
405;1;1;"PLANCH. CROQ APERO";0,00;0,00 €
406;2;1;"Total Net";14,00;133,44 €
407;2;1;"Total Brut";14,00;134,40 €
408;2;1;" dont Ventes";13,00;133,44 €
409;2;1;" dont Remises";1,00;0,96 €
410;2;1;"Total Avoir Ticket";1,00;9,60 €
411;2;1;"Total Modification Note";3,00;28,80 €
412;0;0;"";0,00;0,00 €
413;1;1;"PLANCH. FROMAGERE";0,00;0,00 €
414;2;1;"Total Net";15,00;149,25 €
415;2;1;" dont Ventes";15,00;149,25 €
416;2;1;"Total Annulations";1,00;9,95 €
417;2;1;"Total Avoir Ticket";4,00;39,80 €
418;2;1;"Total Modification Note";2,00;19,90 €
419;0;0;"";0,00;0,00 €
420;1;1;"PLANCH. TRADITIONNELLE";0,00;0,00 €
421;2;1;"Total Net";66,00;654,72 €
422;2;1;"Total Brut";66,00;656,70 €
423;2;1;" dont Ventes";64,00;654,72 €
424;2;1;" dont Remises";2,00;1,98 €
425;2;1;"Total Avoir Ticket";1,00;9,95 €
426;2;1;"Total Modification Note";19,00;189,05 €
427;0;0;"";0,00;0,00 €
428;1;1;"SAUMON MARINE";0,00;0,00 €
429;2;1;"Total Net";24,00;153,00 €
430;2;1;" dont Ventes";18,00;153,00 €
431;2;1;" dont Menus";6,00;0,00 €
432;2;1;"Total Annulations";3,00;25,50 €
433;2;1;"Total Modification Note";4,00;25,50 €
434;0;0;"";0,00;0,00 €
435;1;1;"TERRINE FOIES VOLAILLE";0,00;0,00 €
436;2;1;"Total Net";29,00;63,00 €
437;2;1;" dont Ventes";10,00;63,00 €
438;2;1;" dont Menus";19,00;0,00 €
439;2;1;"Total Modification Note";3,00;0,00 €
440;0;0;"";0,00;0,00 €
441;1;1;"TRIO DE PLANCHETTES";0,00;0,00 €
442;2;1;"Total Net";6,00;159,60 €
443;2;1;" dont Ventes";6,00;159,60 €
444;2;1;"Total Modification Note";2,00;53,20 €
445;0;0;"";0,00;0,00 €
446;4;0;"Net ENTREES";183,00;1784,12 €
447;4;0;"Brut ENTREES";183,00;1788,85 €
448;4;0;" dont Ventes";151,00;1776,62 €
449;4;0;" dont Menus";28,00;7,50 €
450;4;0;" dont Remises";4,00;4,73 €
451;4;0;"Annulations";4,00;35,45 €
