121035,Morceaux de muscles à hacher vbf       frais,11.2,1,TRIPLE RUST. MAQUIGNON,0.33,TRIPLE CROUSTI BURGER,0.33.1,TRIPLE CLASSIC BURGER,0.33.2,TRIPLE ESTIVAL BURGER,0.33.3,TRIPLE MAQUIGNON,0.33.4,RUSTIQUE MAQUI.,0.11,MAQUIGNON,0.11.1,ESTIVAL BURGER,0.11.2,DOUBLE RUSTIQUE MAQ.,0.22,DOUBLE MAQUIGNON,0.22.1,DOUBLE ESTIVAL BURGER,0.22.2,DOUBLE CROUSTI BURGER,0.22.3,DOUBLE CLASSIC BURGER,0.22.4,CLASSIC BURGER,0.11.3,TARTARE POELE 330GR,0.33.5,TARTARE POELE 220GR,0.22.5,TARTARE POELE 110GR,0.11.4,TARTARE 330GR,0.33.6,TARTARE 220GR,0.22.6,TARTARE 110GR,0.11.5,TARPACCIO SIMPLE,0.11.6,TARPACCIO DOUBLE,0.22.7,STEAK HACHE SCE POIVRE,0.11.7,HACHE 330GR,0.33.7,HACHE 220GR,0.22.8,HACHE 110GR,0.11.8,HACHE 110G SUPP,0.11.9,PTIT BURGER,0.11.10,CROUSTI BURGER,0.11.11
131020,Pave rtk 170 grs       frais,18.4,0.85,PAVE RUMSTECK,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131041,Bavette aloyau 170 grs       frais,16.0,0.85,BAVETTE D'ALOYAU,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131044,Araignee pac       frais,18.5,1.0,ARAIGNEE 240GR,0.24,ARAIGNEE 160GR,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131047,Onglet 200 grs       frais,19.0,1.0,ONGLET,0.2,BROCH. ONGLET,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131061,Panache onglet 80 grs       frais,17.5,0.4,PANACHE DU BOUCHER,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131062,Panache araignees 80 grs       frais,17.0,0.4,PANACHE DU BOUCHER,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131063,Panache poire 80 grs       frais,16.7,0.4,PANACHE DU BOUCHER,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131071,Entrecotes 300 grs race a viande       frais,25.4,0.9,ENTRECOTE 300GR,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131072,Entrecotes 230 grs       frais,25.0,0.92,ENTRECOTE 230GR,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131073,Surprise du boucher 170 grs       frais,15.9,0.85,SURPRISE DU BOUCHER,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131106,Cotes 430 grs        frais,23.0,0.43,COTE 430GR,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151005,Mi cuit de bœuf - tataki       frais,17.1,1.0,MI-CUIT BOEUF TATAKI,0.16,SUPP TATAKI BOEUF,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151009,Millefeuille 180 grs       frais,17.1,0.72,MILLEFEUILLE BOEUF,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900051,Bloc de foie gras de canard mi-cuit        frais,36.0,1.98,BLOC FOIE GRAS,0.05,BLOC FOIE GRAS M,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900095,Terrines de foie de volaille 70grs       frais,11.2,1.05,PLANCH. TRADITIONNELLE,0.07,TERRINE FOIES VOLAILLE,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900115,Rillettes du mans à l'ancienne       frais,8.04,1.32,PLANCH. TRADITIONNELLE,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
